date,PGTM,station,PRCP,SNOW,SNWD,TMAX,TMIN,WT08,WT01,WT16,WT18,WT03,TSUN,WT02,WT05,AWND,FMTM,WDF2,WSF2,WT13,TAVG,WDF5,WSF5,WT07
1960-11-15T00:00:00,1518.0,GHCND:USW00013743,0.0,0.0,0.0,66.0,48.0,1.0,,,,,,,,,,,,,,,,
1960-11-16T00:00:00,1412.0,GHCND:USW00013743,0.0,0.0,0.0,72.0,51.0,,,1.0,,,,,,,,,,,,,,
1960-11-17T00:00:00,554.0,GHCND:USW00013743,0.0,0.0,0.0,63.0,41.0,1.0,,,,,,,,,,,,,,,,
1960-11-18T00:00:00,1230.0,GHCND:USW00013743,0.0,0.0,0.0,62.0,36.0,1.0,,,,,,,,,,,,,,,,
1960-11-19T00:00:00,930.0,GHCND:USW00013743,0.0,0.0,0.0,59.0,39.0,1.0,,,,,,,,,,,,,,,,
1960-11-20T00:00:00,1218.0,GHCND:USW00013743,0.0,0.0,0.0,60.0,37.0,1.0,,,,,,,,,,,,,,,,
1960-11-21T00:00:00,1306.0,GHCND:USW00013743,0.0,0.0,0.0,63.0,41.0,1.0,,,,,,,,,,,,,,,,
1960-11-22T00:00:00,1018.0,GHCND:USW00013743,0.0,0.0,0.0,63.0,37.0,1.0,,,,,,,,,,,,,,,,
1960-11-23T00:00:00,1548.0,GHCND:USW00013743,0.06,0.0,0.0,57.0,40.0,1.0,1.0,1.0,,,,,,,,,,,,,,
1960-11-24T00:00:00,806.0,GHCND:USW00013743,0.0,0.0,0.0,44.0,32.0,1.0,,,,,,,,,,,,,,,,
1960-11-25T00:00:00,118.0,GHCND:USW00013743,0.0,0.0,0.0,54.0,42.0,1.0,,,,,,,,,,,,,,,,
1960-11-26T00:00:00,1448.0,GHCND:USW00013743,0.0,0.0,0.0,61.0,36.0,1.0,1.0,,,,,,,,,,,,,,,
1960-11-27T00:00:00,1236.0,GHCND:USW00013743,0.0,0.0,0.0,60.0,42.0,1.0,1.0,,,,,,,,,,,,,,,
1960-11-28T00:00:00,1506.0,GHCND:USW00013743,0.0,0.0,0.0,62.0,42.0,1.0,1.0,,,,,,,,,,,,,,,
1960-11-29T00:00:00,2354.0,GHCND:USW00013743,0.3,0.0,0.0,66.0,41.0,,1.0,1.0,,,,,,,,,,,,,,
1960-11-30T00:00:00,112.0,GHCND:USW00013743,0.0,0.0,0.0,41.0,31.0,,,,,,,,,,,,,,,,,
